id,username,created_at,lng,lat,text
1515078253660180480,replaypov,Fri Apr 15 21:22:59 +0000 2022,-115.135165,36.0609645,also had to emergently get off my flight bc someone was running down to the bathroom and locked it being suspect wh… https://t.co/1gh10aXeyI
1515078253786144770,PIPEB0MBDREAMS,Fri Apr 15 21:22:59 +0000 2022,-96.7589665,35.974215,@WKCDOGS Collies ❤️
1515078254276841479,Springtime65,Fri Apr 15 21:22:59 +0000 2022,-100.0768885,31.1688935,@BoyGeorge @marksandspencer I would love to here you sing .Enough is Enough . Duet : like Barbra and Donna Summers… https://t.co/7qd6gOjBx3
1515078253664346115,PatiKRoll11,Fri Apr 15 21:22:59 +0000 2022,-108.636522,39.07573,They also lie!!
1515078255480647688,itsmoonhead,Fri Apr 15 21:22:59 +0000 2022,-85.1939275,34.2667455,Mooncar after dark tonight?????
1515078257418248192,MylesIn_SF,Fri Apr 15 21:23:00 +0000 2022,-122.4359785,37.7706565,White people have gone too far
1515078257741164544,cutelulfeet,Fri Apr 15 21:23:00 +0000 2022,-115.223125,36.232915,I hate asking for help
1515078258332684299,Dezzydoesit_,Fri Apr 15 21:23:00 +0000 2022,-95.508925,29.574284499999997,Whateverrrrrr I’m one of your biggest fans chill lmao
1515078257959477254,Kayfanofthings,Fri Apr 15 21:23:00 +0000 2022,-79.42086499999999,38.003375500000004,WHAT THE FUCK IS THIS 😭😭😭 https://t.co/3cP8BIVmdP
1515078259351851012,tmj_sfo_banking,Fri Apr 15 21:23:00 +0000 2022,-122.4382307,37.8020405,"Don't be shy. Score a job like ""Teller at San Francisco Union"" at Comerica Bank by asking for referrals. It's a gre… https://t.co/8ctAwfdSs7"
1515078259398135808,Foxyyladie,Fri Apr 15 21:23:00 +0000 2022,-100.0768885,31.1688935,Check out Dreaming Of You by Selena on Amazon Musichttps://t.co/hbr01dGf6H
1515078260689829888,baeareavibez,Fri Apr 15 21:23:00 +0000 2022,-121.469664,38.561722,@thescottevans 🥂 congrats 🍾
1515078260526235648,AllanDP808,Fri Apr 15 21:23:00 +0000 2022,-157.96348,21.400791,Kenny Rodgers
1515078261843320832,Grahampoo,Fri Apr 15 21:23:01 +0000 2022,-72.757385,41.500753,@JennBNews Looks like the three I got shots of last month.
1515078262027743233,ghostinthamist,Fri Apr 15 21:23:01 +0000 2022,-115.135165,36.0609645,being a strip club promoter is so ass sometimes
1515078263365771266,brian_shoots,Fri Apr 15 21:23:01 +0000 2022,-122.14403,37.414371,@organgrinder66 Legend no disrespect today from me
1515078264531918850,jsjsjacobs,Fri Apr 15 21:23:01 +0000 2022,-70.29254499999999,43.696187,@jtackeff A shanda
1515078264565420034,SarahRieder81,Fri Apr 15 21:23:01 +0000 2022,-89.5694915,44.900818,@GISH I am choosing to believe it’s 💯 true. Because I love them all 🥺
1515078264741502976,aarenp,Fri Apr 15 21:23:01 +0000 2022,-122.455344,47.242960499999995,@airwaterlandcom Yep - the seals were swimming into the bay and hanging around as far away from the mouth as they could get
1515078266058678283,pollo22_,Fri Apr 15 21:23:02 +0000 2022,-87.7788635,41.7054,Treat me accordingly. I don’t like the fake friend vibes around. I’ll have way more respect for you. Trust me my fe… https://t.co/GpkMeLWadt
1515078266251526152,ChristopReese,Fri Apr 15 21:23:02 +0000 2022,-83.1738665,32.6782075,@dcexaminer @JoeBiden 57 Million Democrats Changed Their Minds? That’s Scientifically Impossible!
